title,description,type,level
Beasiswa Indonesia Maju (BIM) Program Persiapan S1 Luar Negeri,Beasiswa fully funded Kemendikbud untuk persiapan kuliah S1 di luar negeri bagi siswa SMA berprestasi,scholarship,Nasional
Beasiswa Unggulan Kemendikbud,Beasiswa fully funded dari Kemendikbud untuk siswa berprestasi yang akan masuk perguruan tinggi,scholarship,Nasional
Beasiswa KIP Sekolah,Bantuan biaya pendidikan pemerintah untuk siswa SMP dan SMA dari keluarga kurang mampu,scholarship,Nasional
Beasiswa PIP (Program Indonesia Pintar),Program beasiswa pemerintah untuk siswa SMP dan SMA dari keluarga tidak mampu,scholarship,Nasional
Beasiswa Bakti Nusa SMA,Beasiswa untuk siswa SMA berprestasi dari keluarga prasejahtera mencakup biaya pendidikan penuh,scholarship,Nasional
Beasiswa Cendekia Baznas,Beasiswa fully funded Baznas untuk siswa SMA berprestasi dari keluarga kurang mampu,scholarship,Nasional
Beasiswa Pendidikan Pemimpin Muda,Beasiswa kepemimpinan untuk siswa SMA berprestasi calon pemimpin masa depan,scholarship,Nasional
Beasiswa Tahfidz Quran Pelajar,Beasiswa untuk siswa SMP dan SMA penghafal Al-Quran berprestasi,scholarship,Nasional
Beasiswa Harapan Bangsa,Beasiswa untuk siswa SMP berprestasi dari daerah 3T terpencil tertinggal terdepan,scholarship,Nasional
Beasiswa Mentari Pelajar,Beasiswa untuk siswa SMP berprestasi dari keluarga prasejahtera di seluruh Indonesia,scholarship,Nasional
Beasiswa Anak Guru Berprestasi,Beasiswa khusus putra-putri guru berprestasi untuk jenjang SMP dan SMA,scholarship,Nasional
Beasiswa Prestasi Seni Budaya,Beasiswa untuk siswa SMP dan SMA berprestasi di bidang seni dan budaya,scholarship,Nasional
Beasiswa Prestasi Olahraga Daerah,Beasiswa untuk siswa SMP dan SMA berprestasi di bidang olahraga,scholarship,Nasional
Beasiswa Prestasi Seni Musik,Beasiswa untuk siswa SMP dan SMA berprestasi di bidang musik,scholarship,Nasional
Beasiswa Cahaya Pintar,Beasiswa untuk siswa SMA berprestasi dari keluarga kurang mampu di seluruh Indonesia,scholarship,Nasional
Beasiswa Teladan Bangsa,Beasiswa untuk siswa SMA yang menjadi teladan akademik dan karakter di sekolahnya,scholarship,Nasional
Beasiswa Bakti BCA Pelajar,Beasiswa dari BCA untuk siswa SMA berprestasi dari keluarga kurang mampu,scholarship,Nasional
Beasiswa Insan Berprestasi,Beasiswa untuk siswa SMA berprestasi secara akademik di seluruh Indonesia,scholarship,Nasional
Beasiswa Prestasi Akademik Yayasan,Beasiswa yayasan swasta untuk siswa SMA dengan prestasi akademik luar biasa,scholarship,Nasional
Beasiswa Harapan Bangsa SMA,Beasiswa untuk siswa SMA berprestasi calon pemimpin daerah dari keluarga kurang mampu,scholarship,Nasional
Beasiswa Pendidikan BUMN,Beasiswa dari perusahaan BUMN untuk siswa SMA berprestasi calon karyawan masa depan,scholarship,Nasional
Beasiswa Prestasi Global,Beasiswa untuk siswa SMA berprestasi yang memiliki kemampuan bahasa asing dan wawasan global,scholarship,Nasional
Beasiswa Kader Muhammadiyah/NU,Beasiswa organisasi keagamaan untuk kader berprestasi tingkat SMP dan SMA,scholarship,Nasional
Beasiswa Bantuan Seragam dan Buku,Bantuan beasiswa seragam dan buku pelajaran untuk siswa SMP dari keluarga tidak mampu,scholarship,Nasional
Beasiswa Pendidikan Anak Yatim Berprestasi,Beasiswa fully funded untuk siswa yatim berprestasi jenjang SMP dan SMA,scholarship,Nasional
Beasiswa Insan Cendekia STEM,Beasiswa fully funded untuk siswa SMA berprestasi dengan minat sains dan teknologi,scholarship,Nasional
Beasiswa Generasi Inovator,Beasiswa untuk siswa SMA berbakat di bidang rekayasa teknologi dan inovasi,scholarship,Nasional
Beasiswa Pemuda Berprestasi Internasional,Beasiswa fully funded untuk siswa SMA berprestasi mempersiapkan karir internasional,scholarship,Nasional
Beasiswa LPDP Junior Persiapan,Program persiapan beasiswa LPDP untuk siswa SMA berprestasi tinggi,scholarship,Nasional
Beasiswa Cahaya Nusantara,Beasiswa nasional fully funded untuk siswa SMP dan SMA dari daerah terpencil berprestasi,scholarship,Nasional
Beasiswa Prestasi Luar Biasa (BPLB),Beasiswa pemerintah untuk siswa SMP dan SMA dengan prestasi luar biasa di bidang akademik,scholarship,Nasional
Olimpiade Sains Nasional (OSN) Matematika,"Kompetisi matematika tingkat nasional bergengsi untuk siswa SMA, seleksi dari kabupaten hingga nasional",competition,Nasional
Olimpiade Sains Nasional (OSN) Fisika,"Kompetisi fisika nasional SMA mencakup mekanika, termodinamika, elektromagnetisme, dan fisika modern",competition,Nasional
Olimpiade Sains Nasional (OSN) Biologi,"Kompetisi biologi nasional SMA meliputi sel, genetika, ekologi, fisiologi, dan bioteknologi",competition,Nasional
Olimpiade Sains Nasional (OSN) Kimia,"Kompetisi kimia nasional SMA mencakup kimia organik, anorganik, analitik, dan fisika kimia",competition,Nasional
Olimpiade Sains Nasional (OSN) Astronomi,"Kompetisi astronomi nasional SMA meliputi mekanika langit, astrofisika, dan pengamatan bintang",competition,Nasional
Olimpiade Sains Nasional (OSN) Kebumian,"Kompetisi ilmu kebumian nasional SMA: geologi, meteorologi, oseanografi, dan astronomi dasar",competition,Nasional
Olimpiade Sains Nasional (OSN) IPA SMP,"Kompetisi sains terpadu SMP tingkat nasional mencakup fisika, biologi, dan kimia dasar",competition,Nasional
Olimpiade Sains Nasional (OSN) Matematika SMP,"Kompetisi matematika nasional untuk siswa SMP mencakup aljabar, geometri, dan kombinatorika",competition,Nasional
International Mathematics Olympiad (IMO) Selection,Seleksi nasional untuk wakil Indonesia di olimpiade matematika internasional bergengsi,competition,Nasional
International Physics Olympiad (IPhO) Selection,Seleksi nasional wakil Indonesia di olimpiade fisika internasional tingkat dunia,competition,Nasional
International Biology Olympiad (IBO) Selection,"Seleksi nasional olimpiade biologi internasional, uji teori dan praktikum laboratorium",competition,Nasional
International Chemistry Olympiad (IChO) Selection,"Seleksi wakil Indonesia di olimpiade kimia internasional, eksperimen dan teori",competition,Nasional
International Junior Science Olympiad (IJSO) Selection,Seleksi wakil Indonesia di olimpiade sains junior internasional untuk siswa SMP,competition,Nasional
Indonesian Science Project Olympiad (ISPO),Kompetisi proyek sains dan penelitian ilmiah siswa tingkat nasional,competition,Nasional
Olimpiade Fisika UI,Olimpiade fisika yang diselenggarakan Universitas Indonesia untuk siswa SMA,competition,Nasional
Olimpiade Kimia Nasional (OKN) UGM,Olimpiade kimia nasional diselenggarakan UGM untuk siswa SMA seluruh Indonesia,competition,Nasional
Olimpiade Biologi Nasional (OBN) UI,Olimpiade biologi yang diselenggarakan Universitas Indonesia untuk siswa SMA,competition,Nasional
Olimpiade Matematika ITS (OMITS),"Olimpiade matematika ITS untuk siswa SMP dan SMA, kategori terpisah",competition,Nasional
Chemistry Innovation Project (CIP),Kompetisi proyek inovasi kimia nasional untuk siswa SMA,competition,Nasional
Olimpiade Mikrobiologi Nasional,"Kompetisi mikrobiologi nasional untuk siswa SMA, meliputi teori dan analisis mikroorganisme",competition,Nasional
Olimpiade Statistika Nasional,Kompetisi statistika nasional untuk siswa SMA mencakup statistika deskriptif dan inferensial,competition,Nasional
Olimpiade Matematika Terapan,Kompetisi matematika terapan nasional yang menekankan pemodelan dan aplikasi dunia nyata,competition,Nasional
Olimpiade Fisika Astronomi,Olimpiade fisika dengan fokus astronomi dan astrofisika untuk siswa SMA,competition,Nasional
Olimpiade Kimia Analitik,"Kompetisi kimia analitik nasional untuk siswa SMA, uji identifikasi dan analisis senyawa",competition,Nasional
Olimpiade Kedokteran Dasar (OKD),"Olimpiade ilmu kedokteran dasar untuk siswa SMA, mencakup anatomi dan fisiologi",competition,Nasional
Olimpiade Farmasi Nasional,"Kompetisi farmasi nasional untuk siswa SMA, meliputi kimia medisinal dan farmakologi dasar",competition,Nasional
Olimpiade Lingkungan Hidup,Kompetisi ilmu lingkungan hidup nasional untuk siswa SMP dan SMA,competition,Nasional
Olimpiade Matematika Nasional Unpad,Olimpiade matematika diselenggarakan Universitas Padjadjaran untuk SMP dan SMA,competition,Nasional
National Science Challenge (NSC),"Kompetisi sains nasional untuk siswa SMP mencakup fisika, biologi, kimia terpadu",competition,Nasional
Olimpiade Sains Nasional (OSN) Informatika,"Kompetisi informatika dan pemrograman nasional SMA, mencakup algoritma dan struktur data",competition,Nasional
National Robotics Competition (NRC),"Kompetisi robotika nasional untuk siswa SMP dan SMA, desain dan pemrograman robot",competition,Nasional
Lomba Robotik Madrasah,Kompetisi robotik untuk siswa madrasah tingkat SMP dan SMA seluruh Indonesia,competition,Nasional
Lomba Koding Web Sederhana,"Kompetisi pengembangan web untuk siswa SMA, mencakup HTML, CSS, dan JavaScript",competition,Nasional
National Young Inventors Award (NYIA),Penghargaan inovasi teknologi nasional untuk siswa SMP dan SMA,competition,Nasional
Lomba Vlog Edukasi Pelajar,Kompetisi pembuatan konten video edukasi berbasis teknologi untuk siswa SMA,competition,Nasional
International Olympiad in Informatics (IOI) Selection,Seleksi nasional wakil Indonesia di olimpiade informatika internasional,competition,Nasional
Lomba Desain UI/UX Pelajar Nasional,Kompetisi desain antarmuka pengguna dan pengalaman pengguna aplikasi untuk siswa SMA,competition,Nasional
Festival Inovasi dan Kewirausahaan Siswa Indonesia (FIKSI),Festival inovasi dan wirausaha nasional untuk siswa SMA,competition,Nasional
Olimpiade Sains Nasional (OSN) Ekonomi,"Kompetisi ekonomi nasional SMA mencakup mikro, makro, dan ekonomi internasional",competition,Nasional
Olimpiade Sains Nasional (OSN) Geografi,"Kompetisi geografi nasional SMA mencakup geografi fisik, manusia, dan pemetaan",competition,Nasional
Olimpiade Sains Nasional (OSN) IPS SMP,"Kompetisi IPS terpadu SMP tingkat nasional: geografi, sejarah, ekonomi, sosiologi",competition,Nasional
Olimpiade Ekonomi Universitas Gadjah Mada,Olimpiade ekonomi bergengsi yang diselenggarakan Fakultas Ekonomi UGM untuk siswa SMA,competition,Nasional
Olimpiade Sosiologi Nasional,"Kompetisi sosiologi nasional untuk siswa SMA, mencakup teori dan analisis sosial",competition,Nasional
Olimpiade Geografi Nasional (Olgenas) UGM,Olimpiade geografi nasional yang diselenggarakan UGM untuk siswa SMA,competition,Nasional
National Accounting Olympiad (NAO),"Olimpiade akuntansi nasional untuk siswa SMA, mencakup laporan keuangan dan standar akuntansi",competition,Nasional
Olimpiade Kebijakan Publik Muda,Kompetisi analisis kebijakan publik nasional untuk siswa SMA,competition,Nasional
Olimpiade Sejarah Nasional,"Kompetisi sejarah nasional untuk siswa SMA, mencakup sejarah Indonesia dan dunia",competition,Nasional
Indonesian Heritage Olympiad,Olimpiade warisan budaya dan sejarah Indonesia untuk siswa SMP,competition,Nasional
Lomba Cerdas Cermat (LCC) Museum,Kompetisi cerdas cermat wawasan museum dan sejarah untuk siswa SMP,competition,Nasional
Lomba Debat Bahasa Indonesia (LDBI),Kompetisi debat formal bahasa Indonesia tingkat nasional untuk siswa SMA,competition,Nasional
National Schools Debating Championship (NSDC),Kompetisi debat bahasa Inggris nasional untuk siswa SMA,competition,Nasional
English Speech Competition (ESC),Kompetisi pidato bahasa Inggris nasional untuk siswa SMP dan SMA,competition,Nasional
National English Competition (NEC),Kompetisi bahasa Inggris komprehensif untuk siswa SMP dan SMA tingkat nasional,competition,Nasional
Olimpiade Bahasa Inggris Nasional,Olimpiade bahasa Inggris nasional untuk siswa SMP dan SMA,competition,Nasional
Lomba Storytelling Bahasa Inggris,Kompetisi bercerita dalam bahasa Inggris tingkat nasional untuk siswa SMP,competition,Nasional
Olimpiade Bahasa Arab (OBA) Nasional,Olimpiade bahasa Arab nasional untuk siswa SMP dan SMA,competition,Nasional
Lomba News Casting Bahasa Inggris,Kompetisi penyiar berita berbahasa Inggris nasional untuk siswa SMA,competition,Nasional
Lomba Scrabbel Bahasa Inggris,Kompetisi scrabble berbahasa Inggris nasional untuk siswa SMP dan SMA,competition,Nasional
Lomba Pidato Bahasa Indonesia Nasional,Kompetisi pidato formal bahasa Indonesia tingkat nasional untuk siswa SMP,competition,Nasional
Festival dan Lomba Seni Siswa Nasional (FLS2N) Menyanyi,Festival seni nasional cabang menyanyi solo untuk siswa SMP,competition,Nasional
